,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
3130,Gfpt1,,2.2053458738605467e-56,Gfpt1,,2.2053458738605467e-56
3131,Emc3,,2.1288847890259816e-56,Emc3,,2.1288847890259816e-56
3132,Mir143hg,,6.668038164779349e-56,Mir143hg,,6.668038164779349e-56
3133,Pdp2,,3.7181690897474675e-55,Pdp2,,3.7181690897474675e-55
3134,Zmym1,,8.155360544780874e-56,Zmym1,,8.155360544780874e-56
3135,Pemt,,7.778256445994367e-56,Pemt,,7.778256445994367e-56
3136,Mtf1,,5.258325130076932e-56,Mtf1,,5.258325130076932e-56
3137,Rec8,,6.364094213103421e-55,Rec8,,6.364094213103421e-55
3138,Timeless,,6.406303843119547e-56,Timeless,,6.406303843119547e-56
3139,Atxn10,,3.8764329828856004e-56,Atxn10,,3.8764329828856004e-56
3140,Nudt16,,5.32585608448698e-56,Nudt16,,5.32585608448698e-56
3141,Hnrnph1,,3.945364720196496e-56,Hnrnph1,,3.945364720196496e-56
3142,Pxylp1,,7.589425284047572e-56,Pxylp1,,7.589425284047572e-56
3143,Rhox13,,9.652315797405483e-55,Rhox13,,9.652315797405483e-55
3144,Krt8,,9.420288483628604e-55,Krt8,,9.420288483628604e-55
3145,Eno3,,1.0656348751150371e-55,Eno3,,1.0656348751150371e-55
3146,Pank1,,1.606493701372008e-55,Pank1,,1.606493701372008e-55
3147,Zeb1,,6.904206749431821e-56,Zeb1,,6.904206749431821e-56
3148,Becn1,,5.469802962678466e-56,Becn1,,5.469802962678466e-56
3149,Sar1a,,5.777741591063415e-56,Sar1a,,5.777741591063415e-56
3150,Tmem63a,,1.0825793233389844e-55,Tmem63a,,1.0825793233389844e-55
3151,Rbm25,,8.79638852267762e-56,Rbm25,,8.79638852267762e-56
3152,Serpinb1b,,1.8172063718489417e-54,Serpinb1b,,1.8172063718489417e-54
3153,Ppia,,1.027849972285132e-55,Ppia,,1.027849972285132e-55
